Тип агента;Наименование агента;Электронная почта агента;Телефон агента;Логотип агента;Юридический адрес;Приоритет;Директор;ИНН;КПП
МКК;МонтажОрионУрал;email: pzaitev@blokin.org;(35222) 67-39-26;\agents\agent_96.png;027573, Тамбовская область, город Коломна, ул. Ленина, 20;50;Давыдоваа Нина Евгеньевна;1692286718;181380912
МКК;МетизСтрой;kristina.pakomov@burova.ru;phone: 8-800-172-62-56;\agents\agent_94.png;254238, Нижегородская область, город Павловский Посад, проезд Балканская, 23;Приоритет = 374;Ева Борисовна Беспалова;4024742936;295608432
ОАО;РадиоСевер;maiy.belov@rogov.ru;(495) 368-86-51;\agents\agent_123.png;491360, Московская область, город Одинцово, въезд Ленина, 19;431;Карпов Иосиф Максимович;5889206249;372789083
ООО;Компания КазАлмаз;irina.gusina@vlasova.ru;8-800-533-24-75;\agents\agent_80.png;848810, Кемеровская область, город Лотошино, пер. Ломоносова, 90;396 в приоритете на поставку;Марк Фёдорович Муравьёва;3084797352;123190924
ООО;Компания СервисРадиоГор;nika.nekrasova@kovalev.ru;phone: 8-800-676-32-86;\agents\agent_40.png;547196, Ульяновская область, город Серебряные Пруды, въезд Балканская, 81;169;Попов Вадим Александрович;8880473721;729975116
ЗАО;ВодТверьХозМашина;tkrylov@baranova.net;phone: +7 (922) 849-91-96;\agents\agent_56.png;145030, Сахалинская область, город Шатура, въезд Гоголя, 79;Приоритет = 8;Александра Дмитриевна Ждановаа;4174253174;522227145
ОАО;Тех;vasilisa99@belyev.ru;+7 (922) 427-13-31;\agents\agent_61.png;731935, Калининградская область, город Павловский Посад, наб. Гагарина, 59;278;Аким Романович Логинова;9282924869;587356429
ООО;ТверьМетизУралСнос;email: rlazareva@novikov.ru;(35222) 57-92-75;\agents\agent_109.png;880551, Ленинградская область, город Красногорск, ул. Гоголя, 61;165;Зоя Андреевна Соболева;1076095397;947828491
ЗАО;МясРеч;bkozlov@volkov.ru;8-800-453-63-45;\agents\agent_58.png;903648, Калужская область, город Воскресенск, пр. Будапештсткая, 91;355;Белоусоваа Ирина Максимовна;9254261217;656363498
ЗАО;Флот;gerasim.makarov@kornilov.ru;8-800-144-25-38;\agents\agent_87.png;505562, Тюменская область, город Наро-Фоминск, пр. Косиора, 11;Приоритет = 473;Василий Андреевич Ковалёв;1112170258;382584255
ЗАО;CибПивОмскСнаб;evorontova@potapova.ru;+7 (922) 153-95-22;\agents\agent_46.png;816260, Ивановская область, город Москва, ул. Гагарина, 31;477 в приоритете на поставку;Людмила Александровна Сафонова;5676173945;256512286
ЗАО;ЦементАсбоцемент;email: polykov.veronika@artemeva.ru;phone: (495) 184-87-92;отсутствует;619540, Курская область, город Раменское, пл. Балканская, 12;426;Воронова Мария Александровна;4345774724;352469905
ЗАО;ТелеГлавВекторСбыт;nsitnikov@kovaleva.ru;(35222) 56-15-37;\agents\agent_31.png;062489, Челябинская область, город Пушкино, въезд Бухарестская, 07;185;Екатерина Фёдоровна Ковалёва;9504787157;419758597
ОАО;Инфо;arsenii.mikailova@prokorov.com;8-800-793-59-97;\agents\agent_89.png;100469, Рязанская область, город Ногинск, шоссе Гагарина, 57;Приоритет = 304;Баранова Виктор Романович;6549468639;718386757
ЗАО;ЭлектроРемОрионЛизинг;anfisa.fedotova@tvetkov.ru;(495) 519-97-41;\agents\agent_68.png;594365, Ярославская область, город Павловский Посад, бульвар Космонавтов, 64;198;Тарасова Дан Львович;1340072597;500478249
ООО;Компания ТелекомХмельГаражПром;email: qkolesnikova@kalinina.ru;(812) 983-91-73;\agents\agent_71.png;126668, Ростовская область, город Зарайск, наб. Гагарина, 69;Приоритет = 457;Костина Татьяна Борисовна;1614623826;824882264
ООО;Компания Алмаз;akalinina@zaitev.ru;+7 (922) 688-74-22;\agents\agent_121.png;016215, Воронежская область, город Зарайск, ул. Косиора, 48;Приоритет = 259;Фоминаа Лариса Романовна;6698862694;662876919
ОАО;МясТрансМоторЛизинг;email: vlad.sokolov@andreev.org;phone: +7 (922) 676-34-94;\agents\agent_62.png;765320, Ивановская область, город Шатура, спуск Гоголя, 88;268;Тамара Дмитриевна Семёноваа;6148685143;196332656
МФО;Монтаж;email: zakar.sazonova@gavrilov.ru;(495) 867-76-15;не указано;066594, Магаданская область, город Шаховская, спуск Сталина, 59;Приоритет = 300;Блохина Сергей Максимович;6142194281;154457435
ООО;ВостокГлав;gordei95@kirillov.ru;(812) 949-29-26;\agents\agent_63.png;217022, Ростовская область, город Озёры, ул. Домодедовская, 19;Приоритет = 107;Инга Фёдоровна Дмитриева;3580946305;405017349
МФО;Газ;ulyna.antonov@noskov.ru;(35222) 22-45-58;\agents\agent_76.png;252821, Тамбовская область, город Пушкино, ул. Чехова, 40;170;Терентьев Илларион Максимович;8876413796;955381891
